cuisine,id
southern_us,18009
french,28583
italian,41580
cajun_creole,29752
italian,35687
chinese,38527
southern_us,19666
chinese,41217
mexican,28753
southern_us,22659
italian,21749
greek,44967
indian,42969
italian,44883
british,20827
italian,23196
french,35387
southern_us,33780
cajun_creole,19001
cajun_creole,16526
japanese,42455
french,47453
french,42478
chinese,11885
italian,16585
southern_us,29639
vietnamese,26245
korean,38516
italian,47520
mexican,26212
mexican,23696
thai,14926
italian,13292
japanese,27346
chinese,1384
mexican,15959
russian,42297
indian,46235
indian,21181
cajun_creole,9809
cajun_creole,22982
chinese,23120
french,26743
mexican,12741
greek,7050
italian,22437
spanish,14760
indian,10649
thai,48065
chinese,39931
italian,32935
vietnamese,40142
indian,19103
mexican,38267
italian,30512
chinese,3324
italian,26197
japanese,384
chinese,47230
cajun_creole,39748
british,41038
mexican,24878
filipino,42624
mexican,45706
mexican,8874
greek,23878
chinese,47234
thai,24075
italian,46323
italian,22562
italian,11358
indian,9201
italian,38620
italian,47638
indian,21238
japanese,11053
indian,46602
mexican,13937
southern_us,21876
cajun_creole,20798
chinese,24381
spanish,48178
italian,45832
korean,27560
french,23247
french,28975
greek,43230
italian,9126
cajun_creole,13021
chinese,28194
indian,25617
italian,36125
mexican,16454
chinese,1607
moroccan,38526
southern_us,18755
french,12035
italian,16047
italian,15419
indian,16971
greek,31459
chinese,27888
greek,13900
thai,12376
japanese,1658
mexican,29431
italian,22290
italian,28464
korean,37953
japanese,20814
mexican,35987
italian,2329
southern_us,43237
russian,30647
italian,16675
mexican,37722
chinese,32438
jamaican,20287
indian,43296
greek,6237
korean,48560
mexican,20810
french,34951
vietnamese,31850
jamaican,47745
mexican,37815
italian,9872
italian,5592
vietnamese,27411
spanish,39320
russian,40247
mexican,19792
indian,40754
mexican,14365
spanish,14468
mexican,47563
italian,19611
mexican,7163
irish,43069
chinese,27505
filipino,36500
southern_us,25932
spanish,817
italian,8471
southern_us,48250
cajun_creole,9413
cajun_creole,12097
greek,8416
italian,5892
southern_us,676
chinese,47015
italian,21891
french,14630
korean,36195
mexican,25981
french,39964
indian,28298
french,31954
mexican,26620
russian,14932
italian,47426
italian,1038
southern_us,8077
southern_us,37141
french,45447
mexican,9624
southern_us,45589
irish,7265
southern_us,31844
italian,13046
southern_us,9867
italian,29184
french,34783
thai,2823
mexican,18932
mexican,11112
thai,12859
italian,9365
thai,44516
irish,18193
italian,46545
mexican,9900
brazilian,14815
italian,39690
southern_us,22193
mexican,11739
chinese,27311
indian,36920
indian,7861
moroccan,29248
mexican,43142
southern_us,7574
mexican,8610
italian,989
mexican,46926
japanese,40816
chinese,39726
southern_us,42229
italian,10474
mexican,22140
indian,31985
japanese,46165
italian,20860
italian,42494
italian,15968
thai,20484
brazilian,26661
mexican,47182
french,22528
indian,3861
french,1203
irish,45040
indian,33287
italian,10097
irish,42005
spanish,12423
indian,39613
italian,30276
mexican,18686
mexican,3031
italian,40093
italian,182
mexican,46591
chinese,4092
southern_us,13722
italian,44575
italian,14989
italian,13270
italian,25529
indian,12140
mexican,23127
italian,13523
italian,41270
thai,8362
southern_us,11735
italian,27935
mexican,28198
indian,37765
moroccan,33856
italian,30198
italian,42521
brazilian,21567
italian,36995
thai,24967
irish,45002
mexican,48925
mexican,36914
southern_us,2280
cajun_creole,14729
italian,4594
mexican,2237
greek,45631
japanese,2317
french,23079
chinese,29333
southern_us,48066
italian,15737
southern_us,30580
french,1119
moroccan,46336
mexican,5026
jamaican,10749
mexican,31020
british,30805
southern_us,27653
italian,35060
mexican,39174
italian,49509
italian,31784
southern_us,31408
mexican,36029
italian,11045
cajun_creole,6561
french,26992
southern_us,31179
mexican,35099
korean,11018
mexican,17930
italian,21302
thai,46352
mexican,25132
mexican,7010
southern_us,25850
mexican,19601
italian,7935
filipino,34994
italian,25113
italian,45523
russian,34977
southern_us,7124
greek,27514
mexican,27178
chinese,47880
spanish,29197
mexican,16347
mexican,20333
chinese,29112
italian,7510
mexican,13897
moroccan,35699
mexican,20520
mexican,38920
indian,21775
japanese,37475
italian,40131
mexican,1939
mexican,48268
italian,34815
italian,13797
chinese,39063
chinese,29064
french,26896
italian,29477
irish,3352
mexican,4966
italian,7316
mexican,23879
spanish,16525
italian,32843
jamaican,39574
brazilian,32737
french,44788
italian,28772
mexican,34189
cajun_creole,33719
indian,25846
indian,1423
vietnamese,4328
italian,579
indian,5219
cajun_creole,2314
moroccan,31143
korean,13409
greek,3281
thai,15804
chinese,40835
korean,39262
mexican,37013
southern_us,14807
brazilian,47956
mexican,2580
brazilian,13720
japanese,23008
indian,5951
mexican,39312
southern_us,6176
chinese,17617
mexican,57
indian,43422
mexican,49403
irish,44751
italian,21865
french,26584
korean,39355
mexican,14038
spanish,45396
mexican,49715
thai,41515
spanish,30445
mexican,4090
thai,17207
irish,40376
italian,19398
vietnamese,22347
mexican,49671
italian,40854
thai,926
mexican,47919
italian,20571
southern_us,18866
mexican,48742
italian,14577
italian,29481
italian,40996
brazilian,34470
mexican,31147
italian,35932
italian,27221
italian,48301
vietnamese,29925
thai,48640
southern_us,22873
cajun_creole,10565
italian,15509
french,37569
chinese,13306
italian,40474
japanese,15182
japanese,8609
southern_us,32168
southern_us,1125
italian,25244
mexican,46889
vietnamese,13841
indian,47135
indian,29036
chinese,43533
brazilian,41631
southern_us,22124
cajun_creole,18836
french,35695
indian,5141
moroccan,41894
italian,4972
british,34195
irish,14183
indian,15188
italian,8734
cajun_creole,30946
cajun_creole,5588
mexican,49554
japanese,1270
vietnamese,1259
greek,45986
southern_us,22351
mexican,300
southern_us,9278
indian,10021
russian,17014
italian,40855
chinese,18362
chinese,16292
greek,29924
cajun_creole,47174
italian,4856
italian,15417
british,19875
spanish,42228
mexican,36264
southern_us,14571
chinese,23496
mexican,43879
indian,23431
italian,5499
indian,247
indian,48795
italian,47113
mexican,489
korean,13036
italian,4838
indian,40630
italian,17576
japanese,29972
indian,8123
mexican,35918
cajun_creole,42669
filipino,24632
mexican,35740
italian,45670
filipino,28041
japanese,46688
filipino,10309
indian,15367
southern_us,30562
moroccan,47151
vietnamese,47300
italian,31200
french,5749
italian,41807
mexican,13990
greek,23572
southern_us,872
vietnamese,38085
japanese,5248
jamaican,26309
mexican,26880
mexican,41559
thai,8059
thai,26041
indian,30019
indian,7207
french,30309
mexican,2092
chinese,8023
southern_us,4016
italian,24631
southern_us,35068
mexican,8523
italian,28463
french,8629
cajun_creole,43829
french,22129
japanese,34505
chinese,38200
thai,36513
french,32187
southern_us,7788
filipino,31130
italian,40483
southern_us,2224
southern_us,14143
mexican,22889
japanese,17406
thai,10451
italian,19844
french,23416
french,33874
italian,39951
mexican,41361
moroccan,44659
french,8836
indian,21709
thai,22993
japanese,39191
mexican,17182
korean,20507
italian,42397
italian,18897
thai,3797
brazilian,11041
thai,807
italian,3514
chinese,12936
southern_us,15050
french,43377
chinese,10471
mexican,30721
indian,14333
chinese,6260
southern_us,7712
southern_us,19048
mexican,21455
cajun_creole,18575
french,47647
mexican,35947
italian,14499
british,43525
italian,5723
italian,48497
southern_us,43822
greek,525
mexican,30594
southern_us,47948
indian,2099
mexican,43863
thai,24711
indian,15230
indian,21680
mexican,36218
chinese,41622
italian,34809
french,5110
french,27214
french,34803
indian,36822
vietnamese,6912
italian,20373
japanese,29157
mexican,6327
mexican,35502
cajun_creole,8305
southern_us,35598
indian,48538
indian,49358
mexican,44506
indian,39146
italian,29270
mexican,20560
southern_us,24169
french,41537
british,10431
mexican,31517
chinese,34049
mexican,26964
italian,49655
italian,9101
italian,30377
indian,7046
mexican,47969
southern_us,18971
mexican,38891
thai,29506
cajun_creole,40305
italian,21255
mexican,15578
southern_us,24894
chinese,32089
filipino,46097
italian,40982
indian,12543
italian,38366
spanish,32925
thai,17506
cajun_creole,48389
korean,41804
thai,9961
indian,24939
french,39599
mexican,45838
indian,48875
chinese,25531
cajun_creole,3009
southern_us,31965
italian,16901
italian,13370
filipino,2954
italian,40353
italian,8207
chinese,10933
irish,38206
mexican,14110
italian,19128
indian,32616
mexican,27748
british,31858
italian,20510
thai,17602
japanese,35665
indian,46589
mexican,8178
italian,34880
mexican,42527
mexican,29682
thai,32166
spanish,30343
cajun_creole,15385
vietnamese,18372
italian,29211
japanese,23269
mexican,4561
brazilian,27365
japanese,49032
french,22064
southern_us,12060
cajun_creole,47834
southern_us,25815
chinese,34036
chinese,19326
thai,44078
italian,31090
french,17485
indian,708
korean,5350
southern_us,29754
italian,18309
russian,46871
southern_us,27300
mexican,41890
irish,49548
french,11392
thai,1354
southern_us,48819
southern_us,19097
greek,42113
thai,24060
mexican,25849
french,4543
southern_us,25306
italian,41966
indian,48719
thai,48191
french,8826
mexican,42703
greek,16083
mexican,26613
italian,28088
italian,39965
french,36239
indian,4322
italian,9951
mexican,3045
greek,28585
italian,39841
mexican,25913
jamaican,39715
spanish,23135
indian,47022
southern_us,24160
italian,18619
korean,12574
indian,22681
cajun_creole,33692
mexican,538
japanese,22118
southern_us,21890
southern_us,36340
italian,27973
mexican,12870
spanish,22564
moroccan,35063
french,7000
moroccan,11318
spanish,47001
japanese,11395
chinese,23507
spanish,47242
italian,48957
italian,17721
mexican,25138
moroccan,47438
french,47162
greek,42459
spanish,6486
indian,24116
chinese,31596
chinese,38887
jamaican,10665
italian,13712
italian,2633
filipino,35784
french,45204
italian,46722
southern_us,34949
chinese,35321
southern_us,46430
french,34431
cajun_creole,30890
filipino,42132
thai,15702
mexican,47719
spanish,45160
french,20600
greek,10800
greek,30479
cajun_creole,9457
filipino,26571
italian,42942
mexican,36635
chinese,43617
mexican,16911
mexican,122
french,22340
italian,37007
italian,23595
french,25233
filipino,5503
indian,47338
filipino,44695
southern_us,7141
italian,14564
british,19655
indian,35326
mexican,35922
italian,28171
italian,1322
southern_us,14923
italian,42344
mexican,16380
indian,15233
chinese,8338
moroccan,41014
mexican,30440
chinese,23043
cajun_creole,20788
southern_us,14375
chinese,1184
french,34280
cajun_creole,46171
korean,31834
mexican,14759
chinese,15855
italian,6662
greek,15056
japanese,34873
southern_us,20089
mexican,20015
italian,18402
southern_us,6418
chinese,1454
vietnamese,14070
japanese,26424
indian,27349
korean,26459
mexican,13151
italian,12264
italian,18366
indian,46851
italian,18954
chinese,39858
irish,43500
southern_us,21656
chinese,10505
moroccan,5313
japanese,28951
indian,19961
italian,1795
french,9917
mexican,26180
italian,9726
cajun_creole,47689
mexican,7866
mexican,41625
mexican,35160
southern_us,4430
italian,39082
indian,46186
indian,11988
vietnamese,24177
italian,31849
moroccan,41194
french,36968
chinese,42330
thai,36791
italian,19704
indian,4933
mexican,4255
italian,37105
mexican,35848
mexican,17416
japanese,39066
cajun_creole,36270
spanish,24406
italian,20517
mexican,27630
french,19670
french,4685
italian,45260
korean,378
cajun_creole,40841
japanese,27632
mexican,12193
mexican,38047
italian,10170
japanese,25043
italian,23851
filipino,14743
french,13294
chinese,26466
irish,32002
southern_us,37526
italian,8888
southern_us,38945
cajun_creole,38546
french,38869
mexican,10556
italian,3296
mexican,25977
mexican,32025
italian,44087
british,32762
indian,824
italian,44636
chinese,542
italian,38218
italian,41930
southern_us,1987
italian,37378
italian,8873
thai,1513
mexican,44013
moroccan,38042
jamaican,11576
french,24510
italian,823
chinese,23443
indian,34870
southern_us,3846
french,14993
mexican,16854
mexican,5886
italian,33793
cajun_creole,2999
mexican,20843
chinese,29153
greek,33790
moroccan,16516
french,37887
indian,18466
moroccan,48033
italian,45404
mexican,4175
italian,31986
japanese,38555
chinese,26832
brazilian,19810
italian,49086
cajun_creole,39579
jamaican,25551
moroccan,42549
mexican,22052
greek,45632
mexican,4143
greek,11310
japanese,32839
japanese,48171
italian,22896
mexican,10878
mexican,31643
filipino,47624
italian,35141
japanese,13498
french,24566
british,16533
mexican,15437
greek,19426
mexican,32416
italian,2427
southern_us,9178
southern_us,40606
southern_us,28450
italian,7946
greek,21756
southern_us,17843
irish,44066
chinese,7427
french,11297
italian,42965
french,23067
thai,35066
greek,27938
greek,39075
thai,20200
mexican,19823
chinese,12336
mexican,34714
italian,45388
greek,25639
french,33985
vietnamese,25524
indian,19641
chinese,11106
italian,22165
italian,35412
japanese,23475
italian,1570
mexican,12815
moroccan,37253
southern_us,16900
british,7701
mexican,49391
spanish,1132
mexican,13051
japanese,2284
british,21410
greek,25604
thai,45746
southern_us,35911
japanese,26608
mexican,16991
mexican,40657
southern_us,47960
southern_us,38408
vietnamese,1295
mexican,40139
southern_us,38538
spanish,26420
thai,10326
mexican,5181
indian,18210
southern_us,3241
greek,27062
thai,41527
mexican,45484
french,38755
italian,47246
spanish,164
mexican,723
filipino,299
mexican,1519
japanese,34077
indian,45254
french,34760
thai,11154
french,26274
italian,15081
mexican,45100
british,1417
italian,32083
italian,29971
cajun_creole,17679
indian,36539
mexican,34975
italian,4633
cajun_creole,10321
greek,35565
chinese,26919
southern_us,9549
mexican,31863
greek,22053
italian,19443
italian,18540
italian,23354
southern_us,13859
thai,23904
italian,6675
southern_us,18595
chinese,12967
cajun_creole,17283
mexican,23211
mexican,14358
indian,31398
french,42650
chinese,25258
vietnamese,18457
moroccan,11810
cajun_creole,9499
indian,11943
chinese,6810
italian,34323
korean,23296
italian,45927
southern_us,45196
japanese,19917
italian,20210
chinese,41629
italian,39907
mexican,4956
southern_us,37058
chinese,20859
italian,3315
southern_us,4401
italian,21361
italian,44164
southern_us,26391
italian,47771
greek,44140
indian,43739
italian,12481
vietnamese,12292
indian,15965
chinese,23409
chinese,39005
indian,2774
vietnamese,14529
mexican,16926
brazilian,26890
southern_us,9663
vietnamese,43052
southern_us,24193
italian,5476
greek,10048
cajun_creole,1981
indian,12194
french,22202
chinese,7626
mexican,37365
cajun_creole,44144
french,37723
thai,47194
italian,30827
japanese,33108
cajun_creole,2075
italian,6326
mexican,11083
japanese,30311
moroccan,45371
indian,18232
japanese,9768
british,6648
cajun_creole,35650
italian,23013
mexican,6669
mexican,42670
mexican,18155
vietnamese,44622
mexican,28426
mexican,23743
brazilian,14176
italian,9576
italian,36577
italian,16671
thai,22964
french,16424
indian,47225
french,17565
filipino,36401
italian,30314
jamaican,32982
french,21866
french,1475
italian,13053
southern_us,33983
italian,24051
irish,22800
chinese,16561
southern_us,2740
mexican,219
greek,48737
french,2164
italian,13579
irish,71
mexican,12420
mexican,35209
indian,11472
chinese,43172
cajun_creole,24927
italian,37102
french,10743
mexican,27874
french,9565
italian,21419
korean,767
italian,28308
italian,37605
italian,9558
korean,31527
chinese,2419
chinese,7541
greek,11400
french,23487
french,8087
italian,21906
mexican,48830
southern_us,37328
italian,45490
italian,9710
mexican,16153
southern_us,39537
russian,13923
southern_us,8120
southern_us,12923
korean,1556
japanese,6871
british,34201
russian,36146
southern_us,33170
mexican,20082
southern_us,26517
jamaican,15214
southern_us,34092
southern_us,40902
greek,44452
italian,2083
mexican,44897
irish,17850
italian,26693
indian,19618
indian,35589
southern_us,46084
mexican,17256
mexican,47570
indian,32796
italian,27047
italian,39487
thai,130
cajun_creole,17627
southern_us,29072
jamaican,1108
southern_us,22666
southern_us,41630
italian,27289
spanish,42299
moroccan,36078
french,7098
brazilian,46999
chinese,28791
mexican,39576
french,2447
southern_us,22449
greek,23828
italian,5660
mexican,47460
southern_us,17912
southern_us,12288
italian,44037
mexican,20875
korean,6500
mexican,13813
indian,4907
italian,38186
mexican,9816
southern_us,8170
thai,21681
italian,42384
chinese,35366
indian,34244
mexican,35421
mexican,33457
filipino,28026
mexican,38122
french,21362
cajun_creole,42253
italian,21994
vietnamese,34457
korean,40229
mexican,10181
moroccan,38257
indian,40992
southern_us,15617
thai,34754
italian,45459
mexican,31295
southern_us,44977
japanese,18322
thai,23257
vietnamese,10084
indian,16445
chinese,10594
italian,26828
chinese,47643
thai,49680
french,27446
spanish,8731
japanese,37341
japanese,42241
french,13669
jamaican,21403
mexican,688
italian,23894
italian,35753
italian,44692
mexican,235
moroccan,20982
mexican,10166
italian,2187
thai,5022
italian,49037
french,44478
filipino,8912
italian,8919
jamaican,23856
mexican,14647
filipino,48870
mexican,14377
french,18548
italian,39591
italian,46746
italian,31926
thai,10159
chinese,11342
southern_us,32421
italian,19969
southern_us,3029
southern_us,39565
southern_us,7426
italian,20624
spanish,4385
spanish,18761
korean,46710
southern_us,46241
mexican,14208
chinese,29323
irish,40663
mexican,32391
italian,9506
italian,35402
italian,48796
chinese,4657
filipino,2404
southern_us,36923
french,41762
chinese,19344
italian,19876
southern_us,39452
jamaican,19209
thai,35461
irish,5784
mexican,40345
southern_us,24765
southern_us,25563
mexican,40680
cajun_creole,36932
mexican,28106
mexican,12717
italian,40100
filipino,6960
korean,20724
italian,24433
chinese,32118
italian,22353
mexican,23040
french,46246
southern_us,36642
southern_us,21579
chinese,24073
thai,16775
spanish,24732
italian,24221
french,33300
thai,34971
italian,19777
italian,24337
japanese,24709
french,28557
french,8963
italian,31515
vietnamese,22575
italian,11011
italian,42030
chinese,48012
japanese,13623
mexican,49552
chinese,5702
italian,3847
italian,34221
southern_us,4312
indian,35834
cajun_creole,11849
indian,38290
southern_us,3064
spanish,30099
mexican,37354
italian,27877
mexican,45642
mexican,10629
mexican,17557
mexican,3725
spanish,49507
indian,5560
indian,42239
thai,29559
southern_us,46028
mexican,26523
southern_us,28313
indian,32502
filipino,43610
italian,35563
chinese,22160
chinese,11258
chinese,36220
french,15974
indian,30449
japanese,29676
chinese,29951
irish,2268
mexican,36813
mexican,28096
italian,40471
french,6545
moroccan,33598
mexican,22338
vietnamese,41918
mexican,2133
thai,42259
mexican,11056
italian,7034
japanese,17040
french,35238
southern_us,46155
italian,23356
indian,3909
mexican,22107
southern_us,1656
southern_us,9302
italian,19473
french,13566
italian,23424
southern_us,4139
southern_us,15970
southern_us,47732
southern_us,37251
vietnamese,44870
italian,9773
brazilian,2131
italian,6381
greek,9613
japanese,47364
french,34376
indian,26408
italian,4763
mexican,18982
chinese,2766
korean,19247
french,13462
cajun_creole,19678
italian,22814
southern_us,18582
vietnamese,3124
greek,19347
italian,8812
irish,22037
italian,15423
mexican,35960
mexican,49336
mexican,1255
italian,17646
french,20631
mexican,19492
italian,22895
mexican,18607
chinese,34569
spanish,48356
southern_us,12252
italian,21071
southern_us,22458
southern_us,19585
japanese,15597
southern_us,15038
mexican,20028
thai,29764
japanese,17206
mexican,40901
chinese,37954
thai,16933
moroccan,42657
chinese,21846
mexican,33834
southern_us,25873
italian,5938
spanish,34762
french,39835
indian,5805
vietnamese,13914
moroccan,45924
italian,41460
italian,37287
italian,25059
mexican,34872
chinese,7524
chinese,10427
italian,8014
italian,14740
thai,24329
thai,38514
vietnamese,12665
italian,24655
chinese,7078
southern_us,15995
southern_us,15861
spanish,30662
italian,17836
moroccan,2078
filipino,3600
indian,46302
southern_us,28375
korean,34839
southern_us,18345
french,23205
spanish,34763
southern_us,26692
southern_us,10317
filipino,11767
italian,36881
chinese,33468
mexican,20669
french,18159
russian,22891
italian,39588
chinese,35941
mexican,15981
japanese,26013
korean,5076
italian,1573
french,39380
italian,13845
southern_us,35146
french,32924
italian,9567
spanish,35203
italian,39666
thai,17786
italian,21936
cajun_creole,8668
southern_us,41339
italian,32268
mexican,29706
mexican,42032
southern_us,8105
french,11218
italian,7159
russian,47817
indian,1572
mexican,38720
mexican,14780
mexican,31839
mexican,6501
southern_us,39533
irish,22820
southern_us,9619
greek,14025
italian,19697
french,5370
chinese,32639
japanese,15249
greek,47776
brazilian,48134
chinese,24141
chinese,4117
french,20578
italian,47585
brazilian,20326
filipino,43932
korean,29704
cajun_creole,12447
filipino,38117
greek,2684
mexican,25371
italian,25518
italian,27083
indian,16073
southern_us,45667
spanish,44188
mexican,44888
greek,41594
thai,1061
spanish,6536
filipino,31586
italian,9792
mexican,40395
italian,24861
indian,32253
southern_us,31082
korean,19298
french,6600
southern_us,46939
southern_us,6092
french,36600
brazilian,45979
southern_us,46910
italian,14174
mexican,10609
greek,28647
southern_us,19066
greek,16803
british,49114
vietnamese,14664
french,39670
indian,4583
southern_us,31121
jamaican,12589
spanish,22551
greek,11817
indian,22003
chinese,42091
cajun_creole,45966
southern_us,6811
italian,2711
filipino,44757
spanish,5349
mexican,30294
indian,48944
italian,44048
southern_us,411
japanese,44998
thai,18078
french,48533
vietnamese,16485
